"locus_tag","gene_id","pathways"
"SAOUHSC_00044","3919077",NA
"SAOUHSC_00045","3919078",NA
"SAOUHSC_00046","3919079",NA
"SAOUHSC_00047","3919080",NA
"SAOUHSC_00049","3919081",NA
"SAOUHSC_00050","3919082",NA
"SAOUHSC_00051","3919083","sao00562_Inositol_phosphate_metabolism, sao01100_Metabolic_pathways"
"SAOUHSC_00052","3919084",NA
"SAOUHSC_00053","3919085",NA
"SAOUHSC_00054","3919086",NA
"SAOUHSC_00055","3919087",NA
"SAOUHSC_00056","3919088",NA
"SAOUHSC_00057","3919089",NA
"SAOUHSC_00058","3919090",NA
"SAOUHSC_00060","3919091",NA
"SAOUHSC_00061","3919092",NA
"SAOUHSC_00062","3919093",NA
"SAOUHSC_00064","3919094",NA
"SAOUHSC_00065","3919095",NA
"SAOUHSC_00067","3919096",NA
"SAOUHSC_00069","3919448","sao05150_Staphylococcus_aureus_infection"
"SAOUHSC_00070","3919449",NA
"SAOUHSC_00071","3919450",NA
"SAOUHSC_00072","3919451",NA
"SAOUHSC_00074","3919452",NA
"SAOUHSC_00075","3919453","sao00997_Biosynthesis_of_various_other_secondary_metabolites, sao00998_Biosynthesis_of_various_antibiotics, sao01100_Metabolic_pathways, sao01110_Biosynthesis_of_secondary_metabolites"
"SAOUHSC_00076","3919454","sao00997_Biosynthesis_of_various_other_secondary_metabolites, sao00998_Biosynthesis_of_various_antibiotics, sao01100_Metabolic_pathways, sao01110_Biosynthesis_of_secondary_metabolites"
"SAOUHSC_00077","3919455","sao00997_Biosynthesis_of_various_other_secondary_metabolites, sao01100_Metabolic_pathways, sao01110_Biosynthesis_of_secondary_metabolites"
"SAOUHSC_00078","3919456",NA
"SAOUHSC_00079","3919457","sao00997_Biosynthesis_of_various_other_secondary_metabolites, sao01100_Metabolic_pathways, sao01110_Biosynthesis_of_secondary_metabolites"
"SAOUHSC_00080","3919458","sao00997_Biosynthesis_of_various_other_secondary_metabolites, sao01100_Metabolic_pathways, sao01110_Biosynthesis_of_secondary_metabolites"
"SAOUHSC_00081","3919459",NA
"SAOUHSC_00082","3919460","sao00997_Biosynthesis_of_various_other_secondary_metabolites, sao01100_Metabolic_pathways, sao01110_Biosynthesis_of_secondary_metabolites"
"SAOUHSC_00083","3919461","sao00997_Biosynthesis_of_various_other_secondary_metabolites, sao01100_Metabolic_pathways, sao01110_Biosynthesis_of_secondary_metabolites"
"gene-SAOUHSC_A00084",NA,NA
"SAOUHSC_00084","3919462",NA
"SAOUHSC_00085","3919463",NA
"SAOUHSC_00086","3919464","sao00650_Butanoate_metabolism, sao01110_Biosynthesis_of_secondary_metabolites"
"SAOUHSC_00087","3919465",NA
"SAOUHSC_00088","3919466","sao00052_Galactose_metabolism, sao00520_Amino_sugar_and_nucleotide_sugar_metabolism, sao01100_Metabolic_pathways, sao01250_Biosynthesis_of_nucleotide_sugars"
"SAOUHSC_00089","3919800",NA
"SAOUHSC_00090","3919801",NA
"SAOUHSC_00091","3919802",NA
"SAOUHSC_00092","3919803",NA
"SAOUHSC_00093","3919804","sao04146_Peroxisome"
"SAOUHSC_00094","3919805",NA
"SAOUHSC_00096","3919806",NA
"gene-SAOUHSC_A00097",NA,NA
"SAOUHSC_00097","3919807","sao00230_Purine_metabolism, sao00760_Nicotinate_and_nicotinamide_metabolism, sao01100_Metabolic_pathways, sao01110_Biosynthesis_of_secondary_metabolites, sao01232_Nucleotide_metabolism"
"SAOUHSC_00099","3919808",NA
"SAOUHSC_00100","3919809","sao00030_Pentose_phosphate_pathway, sao01100_Metabolic_pathways"
"SAOUHSC_00101","3919810","sao00030_Pentose_phosphate_pathway, sao00230_Purine_metabolism, sao01100_Metabolic_pathways"
"SAOUHSC_00102","3919811","sao02010_ABC_transporters"
"SAOUHSC_00103","3919812","sao02010_ABC_transporters"
"SAOUHSC_00104","3919813","sao02010_ABC_transporters"
"SAOUHSC_00105","3919814","sao02010_ABC_transporters"
"SAOUHSC_00106","3919815",NA
"SAOUHSC_00107","3919816",NA
"SAOUHSC_00108","3919817",NA
"SAOUHSC_00109","3919818",NA
"SAOUHSC_00110","3919819",NA
"SAOUHSC_00111","3919820",NA
"SAOUHSC_00112","3919821",NA
"SAOUHSC_00113","3919822","sao00010_Glycolysis_/_Gluconeogenesis, sao00071_Fatty_acid_degradation, sao00350_Tyrosine_metabolism, sao00620_Pyruvate_metabolism, sao00625_Chloroalkane_and_chloroalkene_degradation, sao00626_Naphthalene_degradation, sao00650_Butanoate_metabolism, sao01100_Metabolic_pathways, sao01110_Biosynthesis_of_secondary_metabolites, sao01120_Microbial_metabolism_in_diverse_environments, sao01220_Degradation_of_aromatic_compounds"
"SAOUHSC_00114","3919823",NA
"SAOUHSC_00115","3919824",NA
"SAOUHSC_00116","3919825",NA
"SAOUHSC_00117","3919826","sao00541_Biosynthesis_of_various_nucleotide_sugars, sao00552_Teichoic_acid_biosynthesis, sao01100_Metabolic_pathways, sao01250_Biosynthesis_of_nucleotide_sugars"
"SAOUHSC_00118","3919827","sao00541_Biosynthesis_of_various_nucleotide_sugars, sao01100_Metabolic_pathways, sao01250_Biosynthesis_of_nucleotide_sugars"
"SAOUHSC_00119","3919828","sao00541_Biosynthesis_of_various_nucleotide_sugars, sao01100_Metabolic_pathways, sao01250_Biosynthesis_of_nucleotide_sugars"
"SAOUHSC_00120","3919829","sao00541_Biosynthesis_of_various_nucleotide_sugars, sao01100_Metabolic_pathways, sao01250_Biosynthesis_of_nucleotide_sugars"
"SAOUHSC_00121","3919830",NA
"SAOUHSC_00122","3919831",NA
"SAOUHSC_00123","3919832",NA
"SAOUHSC_00124","3919833",NA
"SAOUHSC_00125","3919834",NA
"SAOUHSC_00126","3919835",NA
"SAOUHSC_00127","3919836",NA
"SAOUHSC_00128","3919837","sao00541_Biosynthesis_of_various_nucleotide_sugars, sao01100_Metabolic_pathways, sao01250_Biosynthesis_of_nucleotide_sugars, sao02020_Two-component_system"
"SAOUHSC_00129","3919838","sao00520_Amino_sugar_and_nucleotide_sugar_metabolism, sao00541_Biosynthesis_of_various_nucleotide_sugars, sao01100_Metabolic_pathways, sao01250_Biosynthesis_of_nucleotide_sugars, sao02020_Two-component_system"
"SAOUHSC_00130","3919839","sao00860_Porphyrin_metabolism, sao01110_Biosynthesis_of_secondary_metabolites"
"SAOUHSC_00131","3919840",NA
"SAOUHSC_00132","3919841","sao00010_Glycolysis_/_Gluconeogenesis, sao00053_Ascorbate_and_aldarate_metabolism, sao00071_Fatty_acid_degradation, sao00280_Valine,_leucine_and_isoleucine_degradation, sao00310_Lysine_degradation, sao00330_Arginine_and_proline_metabolism, sao00340_Histidine_metabolism, sao00380_Tryptophan_metabolism, sao00410_beta-Alanine_metabolism, sao00561_Glycerolipid_metabolism, sao00620_Pyruvate_metabolism, sao00625_Chloroalkane_and_chloroalkene_degradation, sao00770_Pantothenate_and_CoA_biosynthesis, sao01100_Metabolic_pathways, sao01110_Biosynthesis_of_secondary_metabolites, sao01120_Microbial_metabolism_in_diverse_environments, sao01240_Biosynthesis_of_cofactors"
"SAOUHSC_00133","3919842",NA
"SAOUHSC_00134","3919843",NA
"SAOUHSC_00135","3919844",NA
"SAOUHSC_00136","3919845",NA
"SAOUHSC_00137","3919846",NA
"SAOUHSC_00138","3919847",NA
"SAOUHSC_00139","3919848",NA
"SAOUHSC_00141","3919849",NA
"SAOUHSC_00142","3919850","sao00630_Glyoxylate_and_dicarboxylate_metabolism, sao00680_Methane_metabolism, sao01100_Metabolic_pathways, sao01120_Microbial_metabolism_in_diverse_environments, sao01200_Carbon_metabolism"
"SAOUHSC_00143","3919851",NA
"SAOUHSC_00144","3919852",NA
"SAOUHSC_00145","3919853",NA
"SAOUHSC_00146","3919854",NA
"SAOUHSC_00147","3919855","sao00220_Arginine_biosynthesis, sao01100_Metabolic_pathways, sao01110_Biosynthesis_of_secondary_metabolites, sao01210_2-Oxocarboxylic_acid_metabolism, sao01230_Biosynthesis_of_amino_acids"
"SAOUHSC_00148","3919856","sao00220_Arginine_biosynthesis, sao01100_Metabolic_pathways, sao01110_Biosynthesis_of_secondary_metabolites, sao01210_2-Oxocarboxylic_acid_metabolism, sao01230_Biosynthesis_of_amino_acids"
"SAOUHSC_00149","3919857","sao00220_Arginine_biosynthesis, sao01100_Metabolic_pathways, sao01110_Biosynthesis_of_secondary_metabolites, sao01210_2-Oxocarboxylic_acid_metabolism, sao01230_Biosynthesis_of_amino_acids"
"SAOUHSC_00150","3919858","sao00330_Arginine_and_proline_metabolism, sao01100_Metabolic_pathways, sao01110_Biosynthesis_of_secondary_metabolites"
"SAOUHSC_00151","3919859",NA
"SAOUHSC_00152","3919860",NA
"SAOUHSC_00153","3919861",NA
"SAOUHSC_00154","3919862",NA
"SAOUHSC_00155","3919863","sao00010_Glycolysis_/_Gluconeogenesis, sao00520_Amino_sugar_and_nucleotide_sugar_metabolism, sao01100_Metabolic_pathways, sao02060_Phosphotransferase_system_(PTS)"
"SAOUHSC_00156","3919864",NA
"SAOUHSC_00157","3919865","sao00520_Amino_sugar_and_nucleotide_sugar_metabolism, sao01100_Metabolic_pathways"
"SAOUHSC_00158","3919866","sao00500_Starch_and_sucrose_metabolism, sao02060_Phosphotransferase_system_(PTS)"
"SAOUHSC_00160","3919867",NA
"SAOUHSC_00161","3919868",NA
"SAOUHSC_00162","3919869",NA
"SAOUHSC_00163","3919870",NA
"SAOUHSC_00164","3919871",NA
"SAOUHSC_00166","3919872",NA
"SAOUHSC_00167","3919873","sao02024_Quorum_sensing"
"SAOUHSC_00168","3919874","sao02024_Quorum_sensing"
"SAOUHSC_00169","3919875","sao02024_Quorum_sensing"
"SAOUHSC_00170","3919876","sao02024_Quorum_sensing"
"SAOUHSC_00171","3919877","sao00430_Taurine_and_hypotaurine_metabolism, sao00460_Cyanoamino_acid_metabolism, sao00480_Glutathione_metabolism, sao01100_Metabolic_pathways"
"SAOUHSC_00172","3919486",NA
"SAOUHSC_00173","3919487",NA
"SAOUHSC_00174","3919488",NA
"SAOUHSC_00175","3919489","sao02010_ABC_transporters"
"SAOUHSC_00176","3919490","sao02010_ABC_transporters"
"SAOUHSC_00177","3919491","sao02010_ABC_transporters"
"SAOUHSC_00178","3919492","sao02010_ABC_transporters"
"SAOUHSC_00179","3919493",NA
"SAOUHSC_00180","3919494",NA
"SAOUHSC_00181","3919495",NA
"SAOUHSC_00182","3919496",NA
"SAOUHSC_00183","3919497","sao02020_Two-component_system"
"SAOUHSC_00184","3919498","sao02020_Two-component_system"
"SAOUHSC_00185","3919499","sao02020_Two-component_system"
"SAOUHSC_00186","3919500","sao02020_Two-component_system"
"SAOUHSC_00187","3919501","sao00620_Pyruvate_metabolism, sao00640_Propanoate_metabolism, sao00650_Butanoate_metabolism, sao01100_Metabolic_pathways, sao01120_Microbial_metabolism_in_diverse_environments"
"SAOUHSC_00188","3919502",NA
"SAOUHSC_00189","3919503",NA
"SAOUHSC_00190","3919504","sao00564_Glycerophospholipid_metabolism"
"SAOUHSC_00191","3919505","sao05150_Staphylococcus_aureus_infection"
"SAOUHSC_00192","3920348",NA
"SAOUHSC_00193","3920349",NA
"SAOUHSC_00194","3920350",NA
"SAOUHSC_00195","3920351","sao00071_Fatty_acid_degradation, sao00280_Valine,_leucine_and_isoleucine_degradation, sao00362_Benzoate_degradation, sao00592_alpha-Linolenic_acid_metabolism, sao00907_Pinene,_camphor_and_geraniol_degradation, sao00984_Steroid_degradation, sao01100_Metabolic_pathways, sao01110_Biosynthesis_of_secondary_metabolites, sao01120_Microbial_metabolism_in_diverse_environments, sao01212_Fatty_acid_metabolism"
"SAOUHSC_00196","3920352","sao00071_Fatty_acid_degradation, sao00362_Benzoate_degradation, sao00650_Butanoate_metabolism, sao01100_Metabolic_pathways, sao01120_Microbial_metabolism_in_diverse_environments, sao01200_Carbon_metabolism, sao01212_Fatty_acid_metabolism"
"SAOUHSC_00197","3920353","sao00071_Fatty_acid_degradation, sao00310_Lysine_degradation, sao00362_Benzoate_degradation, sao00380_Tryptophan_metabolism, sao01100_Metabolic_pathways, sao01110_Biosynthesis_of_secondary_metabolites, sao01120_Microbial_metabolism_in_diverse_environments"
"SAOUHSC_00198","3920354","sao00061_Fatty_acid_biosynthesis, sao00071_Fatty_acid_degradation, sao01100_Metabolic_pathways, sao01212_Fatty_acid_metabolism, sao02024_Quorum_sensing, sao04146_Peroxisome"
"SAOUHSC_00199","3920355","sao00620_Pyruvate_metabolism, sao00640_Propanoate_metabolism, sao00643_Styrene_degradation, sao01100_Metabolic_pathways, sao01120_Microbial_metabolism_in_diverse_environments"
"SAOUHSC_00200","3920356",NA
"SAOUHSC_00201","3920357","sao02024_Quorum_sensing"
"SAOUHSC_00202","3920358",NA
"SAOUHSC_00203","3920359",NA
"SAOUHSC_00204","3920360",NA
"SAOUHSC_00205","3920361",NA
"SAOUHSC_00206","3920362","sao00010_Glycolysis_/_Gluconeogenesis, sao00270_Cysteine_and_methionine_metabolism, sao00620_Pyruvate_metabolism, sao00640_Propanoate_metabolism, sao01100_Metabolic_pathways, sao01110_Biosynthesis_of_secondary_metabolites, sao01120_Microbial_metabolism_in_diverse_environments"
"SAOUHSC_00208","3920363",NA
"SAOUHSC_00209","3920364","sao00010_Glycolysis_/_Gluconeogenesis, sao00500_Starch_and_sucrose_metabolism, sao00520_Amino_sugar_and_nucleotide_sugar_metabolism, sao01100_Metabolic_pathways, sao02060_Phosphotransferase_system_(PTS)"
"SAOUHSC_00211","3920365",NA
"SAOUHSC_00212","3920366",NA
"SAOUHSC_00213","3920289",NA
"SAOUHSC_00214","3920290","sao00052_Galactose_metabolism, sao01100_Metabolic_pathways, sao02060_Phosphotransferase_system_(PTS)"
"SAOUHSC_00215","3920291","sao00052_Galactose_metabolism, sao01100_Metabolic_pathways, sao02060_Phosphotransferase_system_(PTS)"
"SAOUHSC_00216","3920292","sao00052_Galactose_metabolism, sao01100_Metabolic_pathways, sao02060_Phosphotransferase_system_(PTS)"
"SAOUHSC_00217","3920293","sao00040_Pentose_and_glucuronate_interconversions, sao00051_Fructose_and_mannose_metabolism, sao01100_Metabolic_pathways"
"SAOUHSC_00218","3920294",NA
"SAOUHSC_00219","3920295","sao00040_Pentose_and_glucuronate_interconversions, sao00051_Fructose_and_mannose_metabolism, sao01100_Metabolic_pathways"
"SAOUHSC_00220","3920296","sao00040_Pentose_and_glucuronate_interconversions, sao01100_Metabolic_pathways"
"SAOUHSC_00221","3920297","sao00040_Pentose_and_glucuronate_interconversions, sao01100_Metabolic_pathways"
"gene-SAOUHSC_A00219",NA,NA
"SAOUHSC_00222","3920298","sao00552_Teichoic_acid_biosynthesis"
"SAOUHSC_00223","3920299","sao00552_Teichoic_acid_biosynthesis"
"SAOUHSC_00225","3920300","sao00040_Pentose_and_glucuronate_interconversions, sao01100_Metabolic_pathways"
"SAOUHSC_00226","3920301","sao00040_Pentose_and_glucuronate_interconversions, sao01100_Metabolic_pathways"
"SAOUHSC_00227","3920302","sao00552_Teichoic_acid_biosynthesis"
"SAOUHSC_00228","3920303","sao00552_Teichoic_acid_biosynthesis"
"SAOUHSC_00229","3920304",NA
"SAOUHSC_00230","3920305","sao02020_Two-component_system"
"SAOUHSC_00231","3920306","sao02020_Two-component_system"
"SAOUHSC_00232","3920307","sao02020_Two-component_system"
"SAOUHSC_00233","3920308","sao02020_Two-component_system"
"SAOUHSC_00234","3919254",NA
"SAOUHSC_00235","3919255",NA
"SAOUHSC_00236","3919256","sao00010_Glycolysis_/_Gluconeogenesis, sao00500_Starch_and_sucrose_metabolism"
"SAOUHSC_00237","3919257",NA
"SAOUHSC_00238","3919258",NA
"SAOUHSC_00239","3919259","sao00030_Pentose_phosphate_pathway, sao01100_Metabolic_pathways"
"SAOUHSC_00240","3919260","sao02010_ABC_transporters"
"SAOUHSC_00241","3919261",NA
"SAOUHSC_00242","3919262",NA
"SAOUHSC_00243","3919263",NA
"SAOUHSC_00244","3919264",NA
"SAOUHSC_00245","3919265",NA
"SAOUHSC_00246","3919266",NA
"SAOUHSC_00247","3919267","sao01110_Biosynthesis_of_secondary_metabolites"
"SAOUHSC_00248","3919268",NA
"SAOUHSC_00249","3919269",NA
"SAOUHSC_00250","3919270",NA
"SAOUHSC_00251","3919271",NA
"SAOUHSC_00253","3919272",NA
"SAOUHSC_00254","3919196",NA
"SAOUHSC_00255","3919197",NA
"SAOUHSC_00256","3919198",NA
"SAOUHSC_00257","3919199",NA
"SAOUHSC_00258","3919200",NA
"SAOUHSC_00259","3919201",NA
"SAOUHSC_00260","3919202",NA
"SAOUHSC_00261","3919203",NA
"SAOUHSC_00262","3919204",NA
"SAOUHSC_00264","3919205",NA
"SAOUHSC_00265","3919206",NA
"SAOUHSC_00266","3919207",NA
"SAOUHSC_00267","3919208",NA
"SAOUHSC_00268","3919209",NA
"SAOUHSC_00269","3919210",NA
"SAOUHSC_00270","3919211",NA
"SAOUHSC_00271","3919212",NA
"SAOUHSC_00272","3919213",NA
"SAOUHSC_00274","3919214",NA
"SAOUHSC_00275","3919215",NA
"SAOUHSC_00276","3918960",NA
"SAOUHSC_00277","3918961",NA
"SAOUHSC_00278","3918962",NA
"SAOUHSC_00279","3918963",NA
"SAOUHSC_00280","3918964",NA
"SAOUHSC_00281","3918965",NA
"SAOUHSC_00282","3918966",NA
"SAOUHSC_00284","3918967",NA
"gene-SAOUHSC_A00283",NA,NA
"SAOUHSC_00285","3918968",NA
"SAOUHSC_00287","3918969",NA
"SAOUHSC_00289","3918970",NA
"SAOUHSC_00290","3918971",NA
"SAOUHSC_00291","3918972",NA
"SAOUHSC_00292","3918973","sao00240_Pyrimidine_metabolism, sao01100_Metabolic_pathways"
"SAOUHSC_00293","3918974",NA
"SAOUHSC_00294","3918975",NA
"SAOUHSC_00295","3918976","sao00541_Biosynthesis_of_various_nucleotide_sugars, sao01100_Metabolic_pathways"
"SAOUHSC_00296","3918977",NA
"SAOUHSC_00297","3918978",NA
"SAOUHSC_00298","3919525","sao00520_Amino_sugar_and_nucleotide_sugar_metabolism, sao01100_Metabolic_pathways"
"SAOUHSC_00299","3919526",NA
"SAOUHSC_00300","3919527","sao00561_Glycerolipid_metabolism, sao01100_Metabolic_pathways"
"SAOUHSC_00301","3919528",NA
"SAOUHSC_00302","3919529",NA
"SAOUHSC_00303","3919530",NA
"SAOUHSC_00304","3919531",NA
"SAOUHSC_00305","3919532",NA
"SAOUHSC_00306","3919533",NA
"SAOUHSC_00307","3919534",NA
"SAOUHSC_00308","3919535","sao00785_Lipoic_acid_metabolism, sao01100_Metabolic_pathways, sao01240_Biosynthesis_of_cofactors"
"SAOUHSC_00309","3919536",NA
"SAOUHSC_00310","3919537","sao00053_Ascorbate_and_aldarate_metabolism, sao01100_Metabolic_pathways, sao01120_Microbial_metabolism_in_diverse_environments, sao02060_Phosphotransferase_system_(PTS)"
"SAOUHSC_00311","3919538","sao00053_Ascorbate_and_aldarate_metabolism, sao01100_Metabolic_pathways, sao01120_Microbial_metabolism_in_diverse_environments, sao02060_Phosphotransferase_system_(PTS)"
"SAOUHSC_00312","3919539","sao00053_Ascorbate_and_aldarate_metabolism, sao01100_Metabolic_pathways, sao01120_Microbial_metabolism_in_diverse_environments, sao02060_Phosphotransferase_system_(PTS)"
"SAOUHSC_00313","3919540",NA
"SAOUHSC_00314","3919541",NA
"SAOUHSC_00315","3919542",NA
"SAOUHSC_00316","3919543",NA
"SAOUHSC_00317","3919544",NA
"SAOUHSC_00318","3919584",NA
"SAOUHSC_00319","3919585",NA
"SAOUHSC_00320","3919586","sao00740_Riboflavin_metabolism, sao00920_Sulfur_metabolism, sao01100_Metabolic_pathways, sao01120_Microbial_metabolism_in_diverse_environments"
"SAOUHSC_00322","3919587",NA
"SAOUHSC_00323","3919588",NA
"SAOUHSC_00324","3919589",NA
"SAOUHSC_00325","3919590",NA
"SAOUHSC_00326","3919591",NA
"SAOUHSC_00327","3919592",NA
"SAOUHSC_00328","3919593","sao03060_Protein_export, sao03070_Bacterial_secretion_system"
"SAOUHSC_00329","3919594","sao03060_Protein_export, sao03070_Bacterial_secretion_system"
"SAOUHSC_00330","3919595",NA
"SAOUHSC_00331","3919596",NA
"SAOUHSC_00332","3919597",NA
"SAOUHSC_00333","3919598",NA
"SAOUHSC_00334","3919599",NA
"SAOUHSC_00335","3919600",NA
"gene-SAOUHSC_A00332",NA,NA
"SAOUHSC_00336","3919601","sao00071_Fatty_acid_degradation, sao00280_Valine,_leucine_and_isoleucine_degradation, sao00310_Lysine_degradation, sao00362_Benzoate_degradation, sao00380_Tryptophan_metabolism, sao00620_Pyruvate_metabolism, sao00630_Glyoxylate_and_dicarboxylate_metabolism, sao00650_Butanoate_metabolism, sao00720_Other_carbon_fixation_pathways, sao00900_Terpenoid_backbone_biosynthesis, sao01100_Metabolic_pathways, sao01110_Biosynthesis_of_secondary_metabolites, sao01120_Microbial_metabolism_in_diverse_environments, sao01200_Carbon_metabolism, sao01212_Fatty_acid_metabolism, sao02020_Two-component_system"
"SAOUHSC_00337","3919602",NA
"SAOUHSC_00338","3921812","sao00270_Cysteine_and_methionine_metabolism, sao00450_Selenocompound_metabolism, sao01100_Metabolic_pathways, sao01110_Biosynthesis_of_secondary_metabolites, sao01230_Biosynthesis_of_amino_acids"
"SAOUHSC_00339","3921813","sao00270_Cysteine_and_methionine_metabolism, sao00450_Selenocompound_metabolism, sao00670_One_carbon_pool_by_folate, sao01100_Metabolic_pathways, sao01110_Biosynthesis_of_secondary_metabolites, sao01120_Microbial_metabolism_in_diverse_environments, sao01230_Biosynthesis_of_amino_acids"
"SAOUHSC_00340","3921814","sao00270_Cysteine_and_methionine_metabolism, sao00450_Selenocompound_metabolism, sao01100_Metabolic_pathways, sao01110_Biosynthesis_of_secondary_metabolites, sao01230_Biosynthesis_of_amino_acids"
"SAOUHSC_00341","3921815","sao00270_Cysteine_and_methionine_metabolism, sao00450_Selenocompound_metabolism, sao00920_Sulfur_metabolism, sao01100_Metabolic_pathways, sao01110_Biosynthesis_of_secondary_metabolites, sao01120_Microbial_metabolism_in_diverse_environments, sao01230_Biosynthesis_of_amino_acids"
"SAOUHSC_00342","3921816",NA
"SAOUHSC_00344","3921817",NA
"SAOUHSC_00345","3921818",NA
"SAOUHSC_00346","3921819",NA
"SAOUHSC_00347","3921820",NA
"SAOUHSC_00348","3921821","sao03010_Ribosome"
"SAOUHSC_00349","3921822","sao03030_DNA_replication, sao03430_Mismatch_repair, sao03440_Homologous_recombination"
"SAOUHSC_00350","3921823","sao03010_Ribosome"
"SAOUHSC_00351","3921824",NA
"SAOUHSC_00352","3921825",NA
"SAOUHSC_00353","3921826",NA
"SAOUHSC_00354","3921827",NA
"SAOUHSC_00355","3921828",NA
"SAOUHSC_00356","3921829",NA
"SAOUHSC_00357","3921830",NA
"SAOUHSC_00358","3921831",NA
"gene-SAOUHSC_A00354",NA,NA
"SAOUHSC_00359","3919779","sao00010_Glycolysis_/_Gluconeogenesis, sao00260_Glycine,_serine_and_threonine_metabolism, sao00680_Methane_metabolism, sao01100_Metabolic_pathways, sao01110_Biosynthesis_of_secondary_metabolites, sao01120_Microbial_metabolism_in_diverse_environments, sao01200_Carbon_metabolism, sao01230_Biosynthesis_of_amino_acids"
"SAOUHSC_00360","3919780",NA
"SAOUHSC_00362","3919781",NA
"SAOUHSC_00363","3919782",NA
"SAOUHSC_00364","3919783",NA
"SAOUHSC_00365","3919784",NA
"SAOUHSC_00366","3919785","sao00740_Riboflavin_metabolism, sao01100_Metabolic_pathways"
"SAOUHSC_00367","3919786",NA
"SAOUHSC_00368","3919787",NA
"SAOUHSC_00369","3919788",NA
"SAOUHSC_00370","3919789",NA
"SAOUHSC_00371","3919790",NA
"SAOUHSC_00372","3919791","sao00230_Purine_metabolism, sao01100_Metabolic_pathways, sao01110_Biosynthesis_of_secondary_metabolites, sao01232_Nucleotide_metabolism"
"SAOUHSC_00373","3919792",NA
"SAOUHSC_00374","3919793","sao00230_Purine_metabolism, sao01100_Metabolic_pathways, sao01110_Biosynthesis_of_secondary_metabolites, sao01232_Nucleotide_metabolism"
"SAOUHSC_00375","3919794","sao00230_Purine_metabolism, sao01100_Metabolic_pathways, sao01232_Nucleotide_metabolism"
"SAOUHSC_00376","3919795",NA
"SAOUHSC_00377","3919796",NA
"SAOUHSC_00378","3919797",NA
"SAOUHSC_00380","3919117",NA
"SAOUHSC_00381","3919118",NA
"SAOUHSC_00382","3919119",NA
"SAOUHSC_00383","3919120",NA
"SAOUHSC_00384","3919121",NA
"SAOUHSC_00386","3919122",NA
"SAOUHSC_00387","3919123",NA
"SAOUHSC_00389","3919124",NA
"SAOUHSC_00390","3919125","sao05150_Staphylococcus_aureus_infection"
"gene-SAOUHSC_A00379",NA,NA
"SAOUHSC_00391","3919126","sao05150_Staphylococcus_aureus_infection"
"SAOUHSC_00392","3919127","sao05150_Staphylococcus_aureus_infection"
"SAOUHSC_00393","3919128",NA
"SAOUHSC_00394","3919129",NA
"SAOUHSC_00395","3919130",NA
"SAOUHSC_00396","3919131",NA
"SAOUHSC_00397","3919132",NA
"SAOUHSC_00398","3919133",NA
"SAOUHSC_00399","3919134","sao05150_Staphylococcus_aureus_infection"
"SAOUHSC_00400","3919135",NA
"SAOUHSC_00401","3919136",NA
"SAOUHSC_00402","3920561",NA
